#dx dt l1 l2 linf mean var min max
3 0.0025 0.512394 0.379905 0.380953 4.89245e-07 0.163937 -0.103563 0.616599
3 0.005 0.516073 0.383029 0.382558 -3.92326e-08 0.166644 -0.107189 0.615922
3 0.01 0.534193 0.396838 0.39231 -4.61094e-08 0.178875 -0.120892 0.616557
3 0.02 0.587708 0.434691 0.441195 -5.83282e-08 0.214628 -0.150442 0.620431
3 0.05 0.946017 0.629869 0.632595 -9.34319e-08 0.450639 -0.255529 0.633102
3 0.1 1.37211 0.773355 0.736309 -4.2481e-09 0.679336 -0.244358 0.726387
